"id","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
0,4.21639651981704,6.58656600590475,1.09218203033839,0.0480080013335556,4.58876479413235,4.5407567927988,24.4187292499212,691.963385861602,0.780933332783844,0.485305603775657,0.0160026671111852,4.21639651981704,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,0.0
1,4.25268079098443,7.37402519529706,0.0560093348891482,0.0160026671111852,4.968828138023,4.95282547091182,38.3482092208223,1760.66163851778,0.645704472598007,0.483803986434502,0.0160026671111852,4.25268079098443,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,1.0
2,3.64486739116897,5.51926370190317,1.64027337889648,0.14002333722287,3.64460743457243,3.50458409734956,34.7570562485038,1486.46902826823,0.815124131346779,0.371994886642217,0.0160026671111852,3.64486739116897,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,1.0
3,5.00499500492523,6.32123869793006,2.32838806467745,0.0880146691115186,7.52925487581263,7.44124020670112,37.3296886074834,1662.84519087604,0.842824957640833,0.50820842711574,0.0160026671111852,5.00499500492523,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,0.0
4,5.10004934884283,7.03757775343961,1.41623603933989,0.0520086681113519,7.77729621603601,7.72528754792465,32.1581022871415,1220.65634772581,0.792360288687671,0.537233637836959,0.0160026671111852,5.10004934884283,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,0.0
5,5.42494904104321,7.27307636502916,1.64427404567428,0.0480080013335556,8.94149024837473,8.89348224704117,23.6551254540953,640.918667180776,0.795649272496518,0.525213273380986,0.0120020003333889,5.42494904104321,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,0.0
6,5.77642105974869,8.14983526507788,0.120020003333889,0.0280046674445741,12.1060176696116,12.078013002167,28.286200783103,997.761466650945,0.732856118242692,0.437047514785448,0.0120020003333889,5.77642105974869,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,0.0
7,5.56820460829302,6.52237107169795,3.22053675612602,0.236039339889982,8.37339556592765,8.13735622603767,18.4342657088468,419.966580197118,0.874553483248426,0.590356833909865,0.0160026671111852,5.56820460829302,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,0.0
99,4.74157540117746,7.40274737537902,0.236039339889982,0.0320053342223704,6.14502417069512,6.11301883647275,34.7769267111347,1459.93071755746,0.73997329274554,0.575015918402901,0.0160026671111852,4.74157540117746,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,1.0
100,4.89181513917954,7.97949272223064,0.0640106684447408,0.0240040006667778,9.0815135855976,9.05750958493082,29.8782525944874,1041.39861195407,0.649296269705383,0.528583911144337,0.0240040006667778,4.89181513917954,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,0.0
